Wind speed,Wind is from,Ground roughtness,Cloud cover,Air themperature,Humidity,Puddle Diameter (meters),Puddle volume (cubic meters),Chemical,Mesurement Heigth,Chemical state,Building,Building surrounding,Initial Puddle Temperature,Type of Puddle,red distance (km),R complement,orange distance,O complement,yellow distance,Y complement,Red Vertical distane,Yellow Vertical distane,Orange Vertical distane,Red Horizontal distane,Yellow Horizontal distane,Orange Horizontal distane,Origin
7.0,NNE,Urban or forest,8.0,34.0,86.0,91.63,842.02,Methanol,3,Liquid,Double storied,Sheltered,34.0,Burning Puddle,0.08,10.0 kW/(sq m),0.1,5.0 kW/(sq m),0.12,2.0 kW/(sq m),0.03,0.06,0.04,0.14,0.24,0.18,0.12
8.0,ENE,Urban or forest,9.0,28.0,85.0,60.73,377.36,Methanol,3,Liquid,Enclosed office,,28.0,Burning Puddle,0.06,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.15,0.11,0.07
6.0,NE,open country,6.0,19.0,84.0,55.9,194.28,Methanol,3,Liquid,Double storied,Sheltered,19.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.09,0.15,0.11,0.07
6.0,ENE,Urban or forest,7.0,30.0,84.0,18.85,927.97,Methanol,3,Liquid,Double storied,Sheltered,30.0,Burning Puddle,0.02,10.0 kW/(sq m),0.02,5.0 kW/(sq m),0.03,2.0 kW/(sq m),0.01,0.01,0.01,0.03,0.05,0.04,0.02
9.0,ESE,open country,7.0,24.0,82.0,41.08,310.48,Methanol,3,Liquid,Double storied,Unsheltered,24.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.1,0.07,0.04
6.0,ESE,open country,0.0,22.0,87.0,48.63,230.12,Methanol,3,Liquid,Enclosed office,,22.0,Burning Puddle,0.04,10.0 kW/(sq m),0.05,5.0 kW/(sq m),0.07,2.0 kW/(sq m),0.02,0.04,0.03,0.07,0.12,0.09,0.05
4.0,ENE,open country,5.0,21.0,87.0,54.37,577.56,Methanol,3,Liquid,Enclosed office,,21.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.15,0.11,0.07
7.0,ENE,Urban or forest,6.0,19.0,80.0,38.15,415.3,Methanol,3,Liquid,Single office,Unsheltered,19.0,Burning Puddle,0.04,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.06,2.0 kW/(sq m),0.02,0.03,0.02,0.06,0.1,0.07,0.04
5.0,ENE,open country,2.0,33.0,87.0,51.35,324.08,Methanol,3,Liquid,Double storied,Unsheltered,33.0,Burning Puddle,0.05,10.0 kW/(sq m),0.06,5.0 kW/(sq m),0.08,2.0 kW/(sq m),0.02,0.04,0.03,0.08,0.13,0.1,0.05
5.0,ESE,open country,1.0,28.0,81.0,31.82,177.0,Methanol,3,Liquid,Single office,Unsheltered,28.0,Burning Puddle,0.03,10.0 kW/(sq m),0.04,5.0 kW/(sq m),0.05,2.0 kW/(sq m),0.01,0.02,0.02,0.05,0.08,0.06,0.03
